Category,Maker,pedal,URL,Price
OverDrive,L',16' Roch,,2100
OverDrive,L',17' Roger,,2100
OverDrive,Xotic,AC Booster,,3200
特殊,Boss,AC-2,,1800
其他,Behringer,Acoustic ADI 21,,1100
Chorus,TC Electronic,Afterglow,,1500
OverDrive,Lovepedal,Amp50,,2200
Amplug,Vox,Amplug2 Bass,,1050
Amplug,Blackstar,Amplug2 Blackstar Bass,,1050
Amplug,Vox,Amplug2 Metal,,1050
OverDrive,Effect Bakery,An Butter Drive,,1500
Delay,Mooer,Ana Echo,,1300
特殊,Electro-Harmonix,Analogizer,,1800
Distortion,One Control,Anodized Brown ,,2200
Tuner,Tomsline,AT-07,,800
綜合,Zoom,B1ON,,1500
OverDrive,Effect Bakery,Bagel Overdrive,,1300
Bass,Xotic,Bass BB Preamp,,3200
Bass,Behringer,Bass BDI21,,1100
Bass,Source Audio,Bass Envelope Filter,,7000
Bass,Digitech,Bass Synth Wah,,2000
Distortion,Animal Pedal,Bear Metal Distortion,,2000
Flanger,Boss,BF-2,,1600
Tuner,Ibanez,Big Tune,,1400
Bass,Behringer,BLE100,,800
Phaser,TC Electronic,Blood Moon,,1500
Bass,Maxon,BP.01,,1400
Delay,MXR,Carbon Copy,,3200
Chorus,Ibanez,Chorus Mini,,2100
Chorus,TC Electronic,Corona,,3000
Compressor,Maxon,CP-F1,,1300
Chorus,DIgitech,CR-7,,2500
Distortion,Effect Bakery,Croissant Distortion,,1300
Distortion,Carl Martin,Crush Zone,,1800
Distortion,Maxon,D&S,,2200
Distortion,Maxon,D&S2,,2200
其他,Boss,DB-60,,1100
Preamp,Cranetortoise,DD-1,,2000
Delay,Boss,DD-7,,3200
Distortion,Providence,DD-402,,1600
Delay,Nobel,DD-800,,2000
Distortion,DIgitech,DF-7,,1600
Distortion,Noah sark,DIstortion M,,1400
Looper,TC Electronic,Ditto,,2900
OverDrive,Fender,Drive,,1500
Distortion,Boss,DS-1,,1300
Tuner,Korg,DT-10,,1000
特殊,Mooer,E7,,2000
Delay,TC Electronic,Echo Brain,,1600
Chorus,Mooer,Ensemble King,,1200
EQ,Behringer,EQ700,,1100
音量踏板/表情踏板,Roland,EV-5,,1500
Distortion,Danelectro,Fab Metal,,800
Distortion,TC Electronic,Fangs,,1500
Delay,TC Electronic,Flashback mini,,2800
音量踏板/表情踏板,Zoom,FP02M,,1200
Delay,Effect Bakery,French Bread Delay,,1500
其他,Boss,FS-5U,,600
Distortion,Hotone,Fury,,1200
Distortion,EBS,FuzzMo,,2800
音量踏板/表情踏板,Boss,FV-50H,,1100
音量踏板/表情踏板,Boss,FV-500H,,2300
綜合,Zoom,G1ON,,1500
綜合,Zoom,G2.1NU,,1800
綜合,Zoom,B2,,1500
綜合,Zoom,G2NU,,1600
綜合,Zoom,G3,,3200
綜合,Zoom,G3N,,4500
娃娃踏板,Jim Dunlop,GCB95,,1900
娃娃踏板,Jim Dunlop,GCB100,,1900
EQ,Boss,GE-7,,2000
Bass,Boss,GEB-7,,1900
娃娃踏板,Friedman,Gold72,,3200
OverDrive,One Control,Golden Acorn,,2200
Distortion,TC Electronic,Grand Magus,,1500
OverDrive,Noah sark,Green,,1500
Distortion,DIgitech,Grunge,,1400
Preamp,Sansamp,GT2,,2800
Delay,Visual Sound,H2O,,3000
Distortion,Boss,HM-3,,1700
Distortion,Behringer,HM300,,800
音箱,Danelectro,Honey Tone,,1100
Distortion,DIgitech,Hot Rod,,1300
特殊,Boss,HR-2,,2800
Phaser,DIgitech,Hyper Phaser,,1900
Noise Reduce,TC Electronic,Iron Curtain,,1400
Chorus,TC Electronic,June 60,,2500
OverDrive,Blackstar,LT Drive,,1500
Tuner,Rowin,LT-900,,700
Tuner,Ibanez,LU20,,900
Bass,Markbass,MB7,,3200
Bass,Arion,MCH-2,,1300
Distortion,Boss,MD-2,,1500
綜合,Boss,ME-20B,,2800
特殊,Electro-Harmonix,Mel9,,5200
Delay,Electro-Harmonix,Memory Toy,,1800
EQ,Arion,MEQ-1,,1200
Bass,EBS,MetalDrive,,2500
Compressor,MXR,Micro Amp,,1800
OverDrive,Fender,Micro Comp,,1800
Distortion,Boss,ML-2,,1700
OverDrive,TC Electronic,MojoMojo,,2000
Delay,Korg,Monotron Delay,,1100
綜合,Zoom,MS-50G,,2500
綜合,Zoom,MS-60B,,2600
